eng,myn
You cannot use a knife because it is dangerous.,အန္တရာယ်များလို့ ဓား မသုံးရဘူး။
I will use a new plate.,ပန်းကန်ပြားအသစ်ကို သုံးမယ်။
I eat breakfast every day.,ကျွန်တော် မနက်တိုင်း မနက်စာစားတယ်။
I went to a coffee shop and had tea with my friend after school.,ကျောင်းဆင်းတော့ သူငယ်ချင်းနဲ့ ကော်ဖီဆိုင်မှာ လက်ဖက်ရည် သောက်တယ်။
I drink coffee every morning.,ကျွန်တော် မနက်တိုင်း ကော်ဖီ သောက်တယ်။
I like coffee more than tea.,ကျွန်တော် ကော်ဖီထက် လက်ဖက်ရည်ကို ပိုကြိုက်တယ်။
"I don't like milk, so I don't drink it that much.",ကျွန်တော် နွားနို့ မကြိုက်လို့ သိပ် မသောက်ဘူး။
"After drinking alcohol, it is good to drink water.",အရက်သောက်ပြီးတဲ့အခါ ရေသောက်ပေးရင် ကောင်းတယ်။
"After drinking, I wash the glass clean.",သောက်ထားလို့ ခွက်ကို ပြောင်အောင် ဆေးတယ်။
I got a cute cup from my friend.,သူငယ်ချင်းဆီက ခွက်လှလှလေး ရခဲ့တယ်။
I put in sugar and drink coffee.,ကျွန်တော် ကော်ဖီကို သကြား ထည့်သောက်တယ်။
I will put money in my wallet.,ပိုက်ဆံအိတ်ထဲကို ပိုက်ဆံ ထည့်တယ်။
Mr Matsui poured me some coffee.,မစ္စတာမဆုအိက ကျွန်တော့်ကို ကော်ဖီဖျော်ပေးတယ်။
That train will go to Tokyo.,ဒီရထားက တိုကျိုကို သွားတယ်။
"The underground train is cheap, fast and very convenient.",မြေအောက်လိုင်းက ဈေးပေါပြီး အရမ်း အဆင်ပြေတယ်။
We will buy a ticket when we ride the train.,ရထားစီးတဲ့အခါ လက်မှတ် ဝယ်တယ်။
I will not ride the lift but use the stairs.,ဓာတ်လှေခါး မစီးဘဲ လှေခါးကို သုံးတယ်။
The toilet is on the second floor.,သန့်စင်ခန်းက နှစ်ထပ်မှာ ရှိတယ်။
I wash my hands after going to the toilet.,အိမ်သာက ထွက်လာတဲ့အခါ လက်ကို ဆေးတယ်။
I will show the ticket at the entrance to the station.,ဘူတာရဲ့ ဝင်ပေါက်မှာ လက်မှတ်ကို ပြတယ်။
"If you use this exit, it is the closest to the library.",ဒီထွက်ပေါက်ကနေ ထွက်ရင် စာကြည့်တိုက်နဲ့ အနီးဆုံးကို ရောက်မယ်။
"If you are going to the embassy, you need to get off at the next station.",သံရုံး သွားမှာဆိုရင် နောက်ဘူတာမှာ ဆင်းရမယ်။
I will ride the bus rather than walk to school.,ကျောင်းအထိ လမ်းမလျှောက်ဘဲ ဘတ်စကား စီးတယ်။
I could not shop because the supermarket was closed.,စူပါမားကက် ပိတ်ထားလို့ ဈေးမဝယ်ခဲ့ရဘူး။
The bag wasn't closed.,အိတ်ကို ပိတ်မထားဘူး။
I am in the same class as Mr Matsui.,ကျွန်တော်နဲ့ မစ္စတာမဆုအိနဲ့က အတန်း အတူတူပဲ။
There are desks and chairs in the classroom.,စာသင်ခန်းမှာ စာရေးခုံနဲ့ ထိုင်ခုံ ရှိတယ်။
I will clean the entrance and the hallway.,အဝင်၀နဲ့ စင်္ကြံကိုလည်း သန့်ရှင်းရေးလုပ်မယ်။
I do not really like studying.,ကျွန်တော် စာကို သိပ် စိတ်မဝင်စားဘူး။
"I was busy last week, so I could not study.",ရှေ့အပတ်က အလုပ်များလို့ စာမလုပ်နိုင်ဘူး။
The children here are all students from the same school.,ဒီမှာ ရှိတဲ့ကလေးတွေ အားလုံး တစ်ကျောင်းတည်းက တပည့်တွေပါ။
The teacher asked the students questions during class.,စာသင်ချိန်အတွင်း ဆရာက တပည့်ကို မေးခွန်းမေးတယ်။
I will go to Tokyo to hang out next week.,နောက်အပတ် ကျွန်တော် သူငယ်ချင်းနဲ့ တိုကျို သွားလည်မယ်။
I studied all day yesterday so I will play today.,မနေ့က တစ်နေ့လုံး စာဖတ်လိုက်လို့ ဒီနေ့တော့ ကစားမယ်။
"I have a test tomorrow, so I will study tonight.",မနက်ဖန် စာမေးပွဲ ရှိလို့ ဒီည စာဖတ်မယ်။
I read the composition Mr Matsui wrote.,ကျွန်တော် မစ္စတာမဆုအိ ရေးတဲ့ စာစီစာကုံးကို ဖတ်တယ်။
I will hand in the composition to the teacher tomorrow.,မနက်ဖန် ဆရာ့ဆီ စာစီစာကုံး ထပ်မယ်။
"When writing an answer, you must read the question carefully.",အဖြေ မရေးခင် မေးခွန်းကို သေချာ ဖတ်ရတယ်။
This question is very easy.,ဒီပုစ္ဆာက အရမ်း လွယ်တယ်။
There is a kanji test at school every day.,ကျောင်းမှာ နေ့တိုင်း ခန်းဂျီးစာမေးပွဲ ရှိတယ်။
"If you practise a lot, your Japanese will get better.",များများ လေ့ကျင့်ရင် ဂျပန်စကား ကျွမ်းလာမယ်။
Yesterday's test was easy.,မနေ့ကစာမေးပွဲက လွယ်တယ်။
I teach Japanese to foreigners.,ကျွန်တော် နိုင်ငံခြားသားတွေကို ဂျပန်စာ သင်ပေးနေတယ်။
I couldn't answer the question because it was too hard.,မေးခွန်း ခက်လို့ မဖြေနိုင်ဘူး။
I practise tennis every day after school finishes.,နေ့တိုင်း ကျောင်းဆင်းရင် တင်းနစ် လေ့ကျင့်တယ်။
I am thinking of getting my hair cut at the beauty salon next week.,နောက်အပတ် အလှပြင်ဆိုင်မှာ ဆံပင် သွားညှပ်မလို့ စိတ်ကူးနေတယ်။
I use my chopsticks with my left hand.,ကျွန်တော် ဘယ်ဘက်လက်နဲ့ တူကို ကိုင်တယ်။
We turn right at the next corner.,ရှေ့ကအကွေ့ ရောက်ရင် ညာဘက်ကို ချိုးမယ်။
Ms Matsui sat in front of me.,ကျွန်တော့်ရှေ့မှာ မစ္စတာမဆုအိ ထိုင်တယ်။
There are a lot of people lined up behind me.,ကျွန်တော့်နောက်မှာ လူတွေ အများကြီး တန်းစီနေတယ်။
"Because I always use this pencil, it has become short.",အမြဲတမ်း ဒီခဲတံချည်းပဲ သုံးနေလို့ တိုတောင်တိုသွားပြီ။
I cut the cake into four pieces using a knife.,ကိတ်မုန့်ကို ဓားနဲ့ လေးပိုင်း ပိုင်းတယ်။
My little sister is short and has long hair.,ကျွန်တော့်ညီမက အရပ်ပုပြီး ဆံပင်ရှည်တယ်။
"I am tired, so I will sit and rest.",ပင်ပန်းလို့ ထိုင်ပြီး အနားယူမယ်။
I asked the police at the police box which way to go.,ရဲကင်းက ရဲသားကို လမ်းမေးခဲ့တယ်။
The map of the town is posted at that police box.,ရဲကင်းမှာ မြို့ရဲ့ မြေပုံကို ချိတ်ထားတယ်။
There are a lot of policemen at the intersection.,လမ်းဆုံမှာ ရဲတွေ အများကြီးပဲ။
The policeman asked my name.,ရဲက ကျွန်တော့်ကို နာမည် မေးတယ်။
The policeman showed us the way to the station.,ရဲသားက ဘူတာအထိ လမ်းညွှန်ပေးတယ်။
"I didn't know the way, so I looked at the map.",လမ်းမသိလို့ မြေပုံကို ကြည့်တယ်။
"Yesterday, I went shopping near the station.",မနေ့က ဘူတာနားကို ဈေးဝယ် သွားတယ်။
I asked Mr Matsui the telephone number of the restaurant we are going to tonight.,မစ္စတာမဆုအိဆီက ဒီည သွားမယ့် စားသောက်ဆိုင်ရဲ့ ဖုန်းနံပါတ်ကို မေးထားတယ်။
"When you turn left at that building, there is a hospital.",အဲဒီအဆောက်အအုံရဲ့ ဘယ်ဘက်ကို ကွေ့လိုက်ရင် ဆေးရုံ ရှိတယ်။
"It is dangerous here, so you may not go inside.",အန္တရာယ်ရှိလို့ ဒီကို မဝင်ရဘူး။
It is dangerous to go home by yourself because it is already late.,ည အရမ်း မိုးချုပ်ပြီမို့ တစ်ယောက်တည်း ပြန်ရမှာ အန္တရာယ်များတယ်။
You may not talk to the person next to you during class.,စာသင်ချိန်မှာ ဘေးနားကလူနဲ့ စကားမပြောရဘူး။
That cafe is next to a bookstore.,အဲဒီကော်ဖီဆိုင်က စာအုပ်ဆိုင်ရဲ့ ဘေးနားမှာ ရှိတယ်။
Mr Matsui's house is near my house.,မစ္စတာမဆုအိရဲ့ အိမ်က ကျွန်တော့်အိမ်ရဲ့ ဘေးမှာ ရှိတယ်။
I gave the bag to Mr Matsui that was near me.,ကျွန်တော့်ဘေးမှာ ထားထားတဲ့ အိတ်ကို မစ္စတာမဆုအိကို ပေးလိုက်တယ်။
I will go to the police box because I lost my wallet.,ပိုက်ဆံအိတ် ပျောက်သွားလို့ ရဲစခန်းကို သွားမယ်။
I lost the magazine I borrowed from Mr Matsui.,မစ္စတာမဆုအိဆီက ငှားလာတဲ့ မဂ္ဂဇင်း ပျောက်သွားပြီ။
"My friend is coming, so I will clean this room.",သူငယ်ချင်း လာမှာမို့လို့ အခန်းကို သန့်ရှင်းရေးလုပ်မယ်။
This room has no window.,ဒီအခန်းက ပြတင်းပေါက် မရှိဘူး။
There is a calendar on the desk.,စာရေးခုံပေါ်မှာ ပြက္ခဒိန် ထားထားတယ်။
I bought a calendar for next year at the department store.,ကုန်တိုက်ကနေ နောက်နှစ်အတွက်ပြက္ခဒိန်ကို ဝယ်တယ်။
"The room is dark, so I will turn on the light.",အခန်းက မှောင်လို့ မီးကို ထွန်းတယ်။
"I was tired yesterday, so I fell asleep quickly.",မနေ့က ပင်ပန်းနေလို့ ချက်ချင်း အိပ်ပျော်သွားတယ်။
"I didn't know the time, so I looked at the clock in the classroom.",အချိန် မသိလို့ စာသင်ခန်းနာရီကို ကြည့်လိုက်တယ်။
I study with the room lights on.,အခန်းမီး ဖွင့်ပြီး စာဖတ်တယ်။
There is a vase in the lobby.,အိမ်အဝင်၀မှာ ပန်းအိုး ထားထားတယ်။
This road is narrow and dangerous.,ဒီလမ်းက အရမ်း ကျဉ်းပြီး အန္တရာယ်များတယ်။
We cross that intersection and go left.,အဲဒီလမ်းဆုံကို ဖြတ်ပြီး ဘယ်ဘက်ကို ကွေ့မယ်။
Japanese cars are expensive but good quality.,ဂျပန်ကားက ဈေးကြီးပေမဲ့ ကောင်းတယ်။
Japanese cars are sold overseas.,ပြည်ပမှာ ဂျပန်ကားတွေ ရောင်းနေတယ်။
This is a car magazine.,ဒါ မော်တော်ကားမဂ္ဂဇင်းပါ။
I ride the taxi from the station to work.,ဘူတာကနေ ကုမ္ပဏီကို တက္ကစီ စီးသွားတယ်။
I go home by taxi.,တက္ကစီနဲ့ အိမ်ပြန်မယ်။
I got on the back of my friend's bicycle.,သူငယ်ချင်းရဲ့ စက်ဘီးနောက်ကနေ လိုက်စီးတယ်။
"Even if it rains, I go by bicycle.",မိုးရွာလည်း စက်ဘီးနဲ့ သွားတယ်။
I went to the river yesterday with my friend and played.,မနေ့က သူငယ်ချင်းနဲ့ ချောင်းကို သွားကစားတယ်။
My house is on the other side of the river.,အိမ်က အဲဒီချောင်းရဲ့ တစ်ဖက်မှာ ရှိတယ်။
"When you cross the bridge, there is a park right there.",တံတားကို ကူးရင် ချက်ချင်း ပန်းခြံ ရှိတယ်။
I go for a walk every morning.,ကျွန်တော် မနက်တိုင်း လမ်းလျှောက် ထွက်တယ်။
I take a walk every morning.,ကျွန်တော် မနက်တိုင်း လမ်းလျှောက်တယ်။
Let's cross the street and walk on the left.,လမ်းကူးပြီး ဘယ်ဘက်ခြမ်းကနေ လျှောက်ရအောင်။
"I want to go across the river, so I will cross the bridge.",ချောင်းဟိုဘက်ကို သွားချင်လို့ တံတားကို ကူးတယ်။
"It was hot, so we swam in the pool.",ပူလို့ ရေကူးကန်မှာ ရေကူးတယ်။
"I am not good at singing, so I am thinking of practising.",သီချင်းဆို ညံ့လို့ အဆိုလေ့ကျင့်မလား စဉ်းစားနေတယ်။
"My brother is good at football, so he taught me.",ညီလေးက ဘောလုံးကစား တော်လို့ သူ့ဆီက သင်ထားတာ။
Mr Matsui is good at cooking.,မစ္စတာမဆုအိက ဟင်းချက် တော်တယ်။
I am not good at drawing pictures.,ကျွန်တော် ပန်းချီဆွဲတာ ညံ့တယ်။
I think taking the train to school is faster than taking the bus.,ကျောင်းအထိဆို ဘတ်စကားထက်စာရင် ရထားက ပိုမြန်တယ်လို့ ထင်တယ်။
Mr Matsui runs fast.,မစ္စတာမဆုအိက အပြေးမြန်တယ်။
I walk very slowly.,ကျွန်တော် လမ်းလျှောက်တာ အရမ်း နှေးတယ်။
I cannot run anymore because my feet hurt.,ခြေထောက်နာလို့ မပြေးနိုင်တော့ဘူး။
The bird is flying over there.,ဟိုဘက်က ကောင်းကင်မှာ ငှက်တွေ ပျံနေတယ်။
I am thinking of travelling abroad next year.,နောင်နှစ် ကျရင် နိုင်ငံခြားခရီးသွားမလို့ စိတ်ကူးနေတယ်။
I can speak English.,ကျွန်တော် အင်္ဂလိပ်စကား ပြောတတ်တယ်။
I study English using a dictionary.,အဘိဓာန် သုံးပြီး အင်္ဂလိပ်စာ လေ့လာတယ်။
I will meet a foreigner friend tomorrow.,မနက်ဖန် နိုင်ငံခြားသားမိတ်ဆွေနဲ့ တွေ့မယ်။
"When you turn right at the intersection over there, there will be an embassy.",အဲဒီလမ်းဆုံကနေ ညာဘက်ကို ကွေ့ရင် သံရုံးကို တွေ့မယ်။
I will go to the embassy tomorrow.,ကျွန်တော် မနက်ဖန် သံရုံးကို သွားမယ်။
Japan is a small country.,ဂျပန်က ကျဉ်းတဲ့နိုင်ငံ ဖြစ်တယ်။
This hotel room is very pretty.,ဒီဟိုတယ်က အခန်းတွေက အရမ်း သန့်တယ်။
Ms Matsui has lived abroad for three years.,မစ္စတာမဆုအိက နိုင်ငံခြားမှာ သုံးနှစ် နေခဲ့တယ်။
I am thinking of travelling abroad next year.,နောက်နှစ် ကျရင် နိုင်ငံခြားကို အလည်သွားမလားလို့ စိတ်ကူးထားတယ်။
I bought a travelling book at a book store.,စာအုပ်ဆိုင်ကနေ ခရီးသွားလမ်းညွှန်စာအုပ် ဝယ်လာတယ်။
The meat at this store is cheap today.,ဒီနေ့ ဒီဆိုင်မှာ အသား ဈေးပေါတယ်။
There are a lot of stores over there that are lined up.,အဲဒီမှာ ဆိုင်တွေ အများကြီး တန်းစီနေတာပဲ။
I buy fruits and vegetables at a vegetable shop.,ကျွန်တော် သစ်သီးတို့ ဟင်းသီးဟင်းရွက်တို့ကို ဟင်းသီးဟင်းရွက်ဆိုင်မှာ ဝယ်တယ်။
Vegetable shops are cheaper than supermarkets.,စူပါမားကက်ထက်စာရင် ကုန်စိမ်းဆိုင်က ဈေးချိုတယ်။
Yesterday's dinner was a meat dish.,မနေ့တုန်းကညစာက အသားဟင်းနဲ့ပါ။
I like meat more than fish.,ကျွန်တော် အသားထက် ငါးကို ပိုကြိုက်တယ်။
Beef is the most expensive of all kinds of meat.,အမဲသားက အသားတွေထဲမှာ ဈေးအကြီးဆုံးပဲ။
I cannot eat pork.,ကျွန်တော် ဝက်သား မစားနိုင်ဘူး။
"Chicken is cheap, but beef tastes better.",ကြက်သားက ဈေးပေါပေမဲ့ အမဲသားက ပိုစားလို့ကောင်းတယ်။
The fish is delicious at places near the sea.,ပင်လယ်နဲ့ နီးတဲ့နေရာက ငါးတွေက စားလို့ကောင်းတယ်။
There are vegetables and eggs in the refrigerator.,ရေခဲသေတ္တာထဲမှာ ဟင်းသီးဟင်းရွက်နဲ့ ကြက်ဥ ရှိတယ်။
"After cutting this vegetable, I will wash it.",ဟင်းရွက်တွေကို လှီးပြီး ဆေးမယ်။
I eat vegetables and fruit every morning.,ကျွန်တော် မနက်တိုင်း ဟင်းသီးဟင်းရွက်နဲ့ သစ်သီး စားတယ်။
Cars are expensive but convenient.,ကားက ဈေးကြီးပေမဲ့ အဆင်ပြေတယ်။
I borrowed three books at the library.,စာကြည့်တိုက်ကနေ စာအုပ် သုံးအုပ် ငှားခဲ့တယ်။
The library is open from 9.00 in the morning to 8.00 in the evening.,စာကြည့်တိုက်က မနက်၉နာရီကနေ ည၈နာရီအထိ ဖွင့်ပါတယ်။
There are a lot of bookshelves lined up in the library.,စာကြည့်တိုက်မှာ စာအုပ်စင်တွေ အများကြီး တန်းစီနေတယ်။
The dictionary is on that bookshelf.,အဘိဓာန် ဟိုကစာအုပ်စင်မှာ ရှိတယ်။
We cannot borrow magazines at the library.,မဂ္ဂဇင်းကို စာကြည့်တိုက်မှာ ငှားလို့မရဘူး။
This magazine is interesting.,ဒီမဂ္ဂဇင်းက ဖတ်လို့ကောင်းတယ်။
That is today's newspaper.,အဲဒါ ဒီနေ့သတင်းစာပါ။
I will make five copies of this.,ဒါကို မိတ္တူ ငါးစောင် ကူးမယ်။
I study Japanese by looking at the dictionary.,အဘိဓာန်ကို သုံးပြီး ဂျပန်စာ လေ့လာတယ်။
I copied the book at the library.,စာကြည့်တိုက်မှာ စာအုပ်ကို ကော်ပီကူးခဲ့တယ်။
The teacher gave the students a copy of the newspaper.,ဆရာက ကျောင်းသားကို သတင်းစာမိတ္တူ ပေးလိုက်တယ်။
Mr Hayashi works for a computer company.,မစ္စတာဟယရှိက ကွန်ပျူတာကုမ္ပဏီမှာ အလုပ်လုပ်တယ်။
I will go to my office early tomorrow.,မနက်ဖန် ကုမ္ပဏီ စောစော သွားမယ်။
I go out with my friends on holidays.,နားရက်မှာ သူငယ်ချင်းနဲ့ အပြင်ထွက်တယ်။
This is a tie from Italy.,ဒါ အီတလီကနက်ကတိုင်ပါ။
Don't smoke in this room.,ဒီအခန်းမှာ ဆေးလိပ် သောက်လို့မရဘူး။
"I am busy every day, so I cannot really rest.",နေ့တိုင်း အလုပ်များလို့ သိပ် အနားမယူနိုင်ဘူး။
"Although work is busy, it is fun.",အလုပ်က ပင်ပန်းပေမဲ့ စိတ်ဝင်စားဖို့ ကောင်းတယ်။
I did not do anything during last week’s vacation.,ရှေ့တစ်ပတ် ပိတ်တုန်းက ဘာမှ မလုပ်ဘူး။
I am working at an automobile company.,ကျွန်တော် ကားကုမ္ပဏီမှာ အလုပ်လုပ်နေတယ်။
I smoke.,ကျွန်တော် ဆေးလိပ်သောက်တယ်။
It is bad for you to smoke.,ဆေးလိပ်သောက်ရင် ကျန်းမာရေး ထိခိုက်တယ်။
I will be absent from school because I have a fever.,အဖျားရှိလို့ ဒီနေ့ ကျောင်းမသွားဘူး။
I work on Sundays too.,ကျွန်တော် တနင်္ဂနွေနေ့လည်း အလုပ်လုပ်တယ်။
I work eight hours every day.,နေ့တိုင်း တစ်နေ့ကို ရှစ်နာရီ အလုပ်လုပ်တယ်။
There are a lot of houses lined up across the street.,ဟိုဘက်လမ်းမှာ အိမ်တွေ အများကြီး တန်းစီနေတယ်။
I must do the laundry tomorrow morning.,နက်ဖန်မနက်ကျရင် အဝတ်မလျှော်လို့မဖြစ်ဘူး။
"It was hot, so I went home and took a shower.",ပူလို့ အိမ်ပြန်ပြီး ရေချိုးတယ်။
I always take a shower in the evening before going to bed.,ညတိုင်း ရေချိုးပြီးမှ အိပ်တယ်။
I am thinking of cleaning when I get home.,အိမ်ပြန်ရောက်ရင် သန့်ရှင်းရေးလုပ်မယ်လို့ စိတ်ကူးတယ်။
I must do the laundry tomorrow morning.,နက်ဖန်မနက်ကျရင် အဝတ်လျှော်ရမယ်။
I will go out with my friend tomorrow night.,မနက်ဖန်ည သူငယ်ချင်းနဲ့ တွေ့ရမှာမို့ အပြင်ထွက်မယ်။
I could not go anywhere yesterday.,မနေ့က ဘယ်မှ မထွက်ဘူး။
This dish can be made at home.,ဒီဟင်းက အိမ်မှာ ချက်လို့ရတယ်။
Mr Matsui can play the guitar.,မစ္စတာမဆုအိက ဂီတာတီးတတ်တယ်။
I practise the piano every day.,ကျွန်တော် နေ့တိုင်း စန္ဒရား လေ့ကျင့်တယ်။
This camera is expensive but very useful.,ဒီကင်မရာက ဈေးကြီးပေမဲ့ အဆင်ပြေတယ်။
I bought a new camera.,ကင်မရာအသစ် ဝယ်လိုက်တယ်။
This is an old Japanese film.,ဒါ ဂျပန်ရှေးဟောင်းရုပ်ရှင် ဖြစ်ပါတယ်။
My little sister is good at drawing pictures.,ညီမလေးက ပန်းချီ တော်တယ်။
"Mr Matsui doesn't like tobacco, so he does not smoke.",မစ္စတာမဆုအိက ဆေးလိပ် မကြိုက်လို့ မသောက်ဘူး။
I don't like cleaning or doing the laundry.,ကျွန်တော် သန့်ရှင်းရေးတို့ အဝတ်လျှော်တာတို့ကို လုပ်ရတာ မုန်းတယ်။
My favourite food is curry.,ကျွန်တော် ကြိုက်တဲ့စားစရာက ဂျပန်ကာရီပါ။
My mother likes cooking.,အမေက ဟင်းချက်ဝါသနာပါတယ်။
I always sing this song at karaoke.,ကာရာအိုကေ သွားရင် အမြဲတမ်း ဒီသီချင်း ဆိုတယ်။
I will play the piano at the concert next month.,ကျွန်တော် နောက်လ ဂီတဖျော်ဖြေပွဲမှာ စန္ဒရားတီးမယ်။
I took a lot of pictures during the trip.,ခရီးသွားတုန်းက ဓာတ်ပုံတွေ အများကြီး ရိုက်ခဲ့တယ်။
I always sleep in my bed.,ကျွန်တော် အမြဲတမ်း အိပ်ရာမှာ အိပ်တယ်။
"When you turn on the heater, it becomes warm.",အပူပေးစက် ဖွင့်ထားရင် နွေးတယ်။
I turn off the heater before I sleep.,မအိပ်ခင် အပူပေးစက်ကို ပိတ်တယ်။
We write answers on tests with ballpoint pens.,စာမေးပွဲမှာ အဖြေကို ဘောပင်နဲ့ ရေးတယ်။
The weather will be rainy tomorrow.,မနက်ဖန်ရဲ့ ရာသီဥတုအခြေအနေကတော့ မိုးရွာပါမယ်။
The weather today is very nice.,ဒီနေ့ရာသီဥတု အရမ်း သာယာတယ်။
"If it is sunny tomorrow, let's play tennis.",မနက်ဖန် နေသာရင် တင်းနစ်ကစားကြမယ်။
They say it will be cloudy tomorrow.,မနက်ဖန် မိုးအုံ့မယ်ဆိုပဲ။
It was cloudy all day yesterday.,မနေ့က တောက်လျှောက် မိုးအုံ့တယ်။
I will not go out on holidays if it rains.,နားရက်မှာ မိုးရွာရင်တော့ အပြင်မထွက်ဘူး။
"It is going to rain tomorrow, so I will go to school by bus.",မနက်ဖန် မိုးရွာမှာမို့ ကျောင်းကို ဘတ်စကားနဲ့ သွားမယ်။
There is no wind today.,ဒီနေ့ လေမတိုက်ဘူး။
Summer in Japan is hot.,ဂျပန်ကနွေရာသီက ပူတယ်။
It gets warm when it is spring.,နွေဦးရောက်ရင် နွေးလာမယ်။
"It is very warm today, so I will go for a walk.",ဒီနေ့ တော်တော် နွေးလို့ လမ်းလျှောက် ထွက်မယ်။
"It is going to get hot tomorrow, so I was thinking about swimming in the pool.",မနက်ဖန် ရာသီဥတုပူမှာမို့လို့ ရေကူးကန်မှာ ရေသွားကူးမယ်လို့ စိတ်ကူးထားတယ်။
"When I opened the window, it became a little cooler.",ပြတင်းပေါက် ဖွင့်လိုက်တော့မှ နည်းနည်း အေးသွားတယ်။
It is cool in autumn.,ဆောင်းဦးက အေးမြတယ်။
"It was raining this morning, but it is sunny now.",မနက်က မိုးရွာပေမဲ့ အခု နေသာနေတယ်။
"If it is sunny tomorrow, let's play tennis.",မနက်ဖန် နေသာရင် တင်းနစ်ကစားကြမယ်။
It didn't snow very much last year.,မနှစ်က နှင်း သိပ် မကျဘူး။
It is cold because the wind is blowing.,လေတိုက်နေလို့ ချမ်းတယ်။
They say the wind will blow hard tomorrow.,မနက်ဖန် လေပြင်းတိုက်မယ်ဆိုပဲ။
"It will be 30 degrees tomorrow, so it will be hot.",မနက်ဖန် အပူချိန် သုံးဆယ်ဒီဂရီအထိ မြင့်မှာဆိုတော့ ပူမယ်။
"I have a cold, and my temperature is 38 degrees.",အအေးမိပြီး ကိုယ်အပူချိန် သုံးဆယ့်ရှစ်ဒီဂရီ ရှိတယ်။
The sky is starting to get cloudy.,မိုး နည်းနည်း အုံ့လာပြီ။
It was cloudy all day yesterday.,မနေ့က တောက်လျှောက် မိုးအုံ့တယ်။
I like this song the best.,ကျွန်တော် ဒီသီချင်းကို အကြိုက်ဆုံးပဲ။
I will not go out when it snows.,နှင်းကျတဲ့နေ့ဆို အပြင်မထွက်ဘူး။
I cannot play tennis on days when the wind is strong.,လေကြမ်းတဲ့နေ့ဆို တင်းနစ်ရိုက်လို့မရဘူး။
"It will be cold at night, so I will bring a jacket with me when I go out.",ညဆို အေးလို့ အပြင်ထွက်ရင် ကုတ်အင်္ကျီ ယူသွားတယ်။
I shampoo my hair before I cut it.,ဆံပင်မညှပ်ခင် ခေါင်း အရင် လျှော်တယ်။
That person with black hair is Mr Matsui.,ဟို ဆံပင်အနက်ရောင်နဲ့လူက မစ္စတာမဆုအိပါ။
The door to the train will shut.,ရထားတံခါး ပိတ်မယ်။
I showed my ticket to the station staff.,ကျွန်တော် ဘူတာဝန်ထမ်းကို လက်မှတ် ပြလိုက်တယ်။
I cut my hair yesterday.,ကျွန်တော် မနေ့က ဆံပင်ညှပ်ခဲ့တယ်။
The beauty salon is next to the station.,အလှပြင်ဆိုင်က ဘူတာရဲ့ ဘေးမှာ ရှိတယ်။
I will do my homework at the library this evening.,ဒီည စာကြည့်တိုက်မှာ အိမ်စာလုပ်မယ်။
I will write the answer here.,ဒီမှာ အဖြေ ရေးမယ်။
An international student from China will come next month.,နောက်လမှာ တရုတ်ပြည်က ပညာတော်သင်ကျောင်းသား လာမယ်။
That person is an international student at this school.,ဟိုလူက ဒီကျောင်းကနိုင်ငံခြားသားကျောင်းသားပါ။
I will go see a film with my friend tomorrow.,မနက်ဖန် သူငယ်ချင်းနဲ့ ရုပ်ရှင် သွားကြည့်မယ်။
Yesterday's test was very hard.,မနေ့ကစာမေးပွဲက အရမ်း ခက်တယ်။
That teacher's class is fun.,ဟိုဆရာရဲ့ အတန်းက စိတ်ဝင်စားဖို့ကောင်းတယ်။
That hairdresser is thin and pretty.,ဟို မိတ်ကပ်ဆရာက သေးသွယ်ပြီး လှတယ်။
I would like to become a hairdresser after I graduate.,ကျောင်းပြီးရင် အလှပြင်ဆရာ လုပ်မယ်။
The vertical line of this box is short and the horizontal line is long.,ဒီသေတ္တာက အနံ တိုပြီး အလျား ရှည်တယ်။
I took a day off work to go to the hospital.,မနေ့က ကုမ္ပဏီ ခွင့်ယူပြီး ဆေးရုံ သွားတယ်။
"I have a fever, so I will be absent from school.",ကိုယ်ပူနေလို့ ဒီနေ့ အနားယူမယ်။
There is a vase on the table.,စားပွဲပေါ်မှာ ပန်းအိုး ရှိတယ်။
I listen to the news on the radio every day.,နေ့တိုင်း ရေဒီယိုနဲ့ သတင်း နားထောင်တယ်။
I gave Mr Kimura's telephone number to my friend.,သူငယ်ချင်းကို မစ္စတာခိမုရရဲ့ ဖုန်းနံပါတ် ပေးလိုက်တယ်။
I was worried because my mother did not contact me.,အမေ့ဆီက အဆက်အသွယ် မလာလို့ စိတ်ပူခဲ့တယ်။
"Yesterday, Mr Matsui contacted me.",မနေ့က မစ္စတာမဆုအိဆီက အဆက်အသွယ်ရတယ်။
Please contact the company by telephone.,ကုမ္ပဏီကို ဖုန်းနဲ့ ဆက်သွယ်လိုက်ပါ။
I will contact you when I get home.,အိမ်ရောက်ရင် ဆက်သွယ်လိုက်မယ်။
The rent for this flat is expensive.,ဒီအိမ်ခန်းက အိမ်လခ ဈေးကြီးတယ်။
I am thinking of looking for a cheaper room.,ပိုပြီး ဈေးသက်သာတဲ့အခန်းကို ရှာမလို့ စိတ်ကူးထားတယ်။
"I could not find the keys, so I looked inside my bag.",သော့ မတွေ့လို့ အိတ်ထဲကို ရှာတယ်။
"When I smoke, I use an ashtray.",ဆေးလိပ်သောက်တဲ့အခါ ဆေးလိပ်ပြာခွက်ကို သုံးတယ်။
There is an ashtray on the table.,စားပွဲပေါ်မှာ ဆေးလိပ်ပြာခွက် ရှိတယ်။
